source_ip,source_port,destination_port,honeypot,country
"45.6.84.6",28945,81,"dionaea",
"185.244.25.164",34314,8088,"dionaea",
"125.64.94.197",50368,3522,"dionaea",
"209.141.35.236",60441,8088,"dionaea",
"212.129.30.255",8768,5060,"dionaea",
"103.255.5.76",18143,5555,"dionaea",
"185.244.25.164",45936,8088,"dionaea",
"194.28.115.245",48502,13389,"dionaea",
"188.166.3.86",48684,8080,"dionaea",
"194.28.115.245",48502,5555,"dionaea",
"209.141.56.95",39418,8088,"dionaea",
"188.166.73.243",47912,8088,"dionaea",
"46.101.9.8",33680,8088,"dionaea",
"176.119.1.206",51202,15000,"dionaea",
"46.101.208.222",39695,8088,"dionaea",
"205.185.119.229",54353,8088,"dionaea",
"68.183.123.55",41787,8088,"dionaea",
"46.101.199.124",41580,8088,"dionaea",
"185.244.25.164",51774,8088,"dionaea",
"185.8.50.73",54288,8088,"dionaea",
"58.190.34.208",2290,23,"dionaea",
"107.170.219.195",39398,445,"dionaea",
"80.211.11.13",56019,8088,"dionaea",
"175.150.226.60",38038,23,"dionaea",
"209.141.56.95",54611,8088,"dionaea",
"198.108.67.42",22433,3092,"dionaea",
"209.141.35.236",36755,8088,"dionaea",
"46.101.128.119",33893,8088,"dionaea",
"138.68.65.19",56330,8088,"dionaea",
"138.68.71.163",36286,8088,"dionaea",
"185.244.25.164",38654,8088,"dionaea",
"209.141.35.236",47603,8088,"dionaea",
"142.93.204.158",58973,8088,"dionaea",
"176.119.4.18",44828,3718,"dionaea",
"35.239.84.63",49660,3580,"dionaea",
"35.239.84.63",50908,1039,"dionaea",
"35.239.84.63",52544,7103,"dionaea",
"35.239.84.63",45778,10243,"dionaea",
"35.239.84.63",48274,5087,"dionaea",
"35.239.84.63",37658,2809,"dionaea",
"35.239.84.63",51828,3007,"dionaea",
"35.239.84.63",35810,25734,"dionaea",
"35.239.84.63",50896,19780,"dionaea",
"35.239.84.63",54392,1066,"dionaea",
"35.239.84.63",56176,5001,"dionaea",
"35.239.84.63",57902,5566,"dionaea",
"35.239.84.63",59110,1022,"dionaea",
"35.239.84.63",33960,3011,"dionaea",
"35.239.84.63",51766,5952,"dionaea",
"35.239.84.63",59340,2022,"dionaea",
"35.239.84.63",49978,42510,"dionaea",
"35.239.84.63",45498,6669,"dionaea",
"35.239.84.63",36026,9877,"dionaea",
"35.239.84.63",49292,37,"dionaea",
"35.239.84.63",59890,6565,"dionaea",
"35.239.84.63",48484,2710,"dionaea",
"35.239.84.63",52756,2909,"dionaea",
"35.239.84.63",38036,8899,"dionaea",
"35.239.84.63",36620,32776,"dionaea",
"35.239.84.63",48216,3920,"dionaea",
"35.239.84.63",53494,1658,"dionaea",
"35.239.84.63",36234,7402,"dionaea",
"35.239.84.63",39876,5825,"dionaea",
"35.239.84.63",46356,1165,"dionaea",
"35.239.84.63",39684,20,"dionaea",
"35.239.84.63",45722,4279,"dionaea",
"35.239.84.63",53580,26,"dionaea",
"35.239.84.63",57680,18988,"dionaea",
"35.239.84.63",56184,7201,"dionaea",
"35.239.84.63",60562,27715,"dionaea",
"35.239.84.63",34168,5987,"dionaea",
"35.239.84.63",35214,4045,"dionaea",
"35.239.84.63",58904,9998,"dionaea",
"35.239.84.63",59286,1029,"dionaea",
"35.239.84.63",42760,1075,"dionaea",
"35.239.84.63",33616,8031,"dionaea",
"178.62.41.160",40574,8088,"dionaea",
"35.239.84.63",50702,1175,"dionaea",
"35.239.84.63",38086,5904,"dionaea",
"35.239.84.63",44310,6666,"dionaea",
"35.239.84.63",37280,34573,"dionaea",
"35.239.84.63",59972,20221,"dionaea",
"35.239.84.63",55124,9594,"dionaea",
"35.239.84.63",41060,667,"dionaea",
"35.239.84.63",58292,6025,"dionaea",
"35.239.84.63",38864,211,"dionaea",
"35.239.84.63",48992,1984,"dionaea",
"35.239.84.63",41650,1218,"dionaea",
"35.239.84.63",58676,55056,"dionaea",
"35.239.84.63",38732,2046,"dionaea",
"35.239.84.63",37412,34571,"dionaea",
"35.239.84.63",33660,513,"dionaea",
"35.239.84.63",53874,8042,"dionaea",
"35.239.84.63",55524,5679,"dionaea",
"35.239.84.63",56502,543,"dionaea",
"35.239.84.63",45946,1060,"dionaea",
"35.239.84.63",40748,24,"dionaea",
"35.239.84.63",53470,27352,"dionaea",
"35.239.84.63",42070,33899,"dionaea",
"35.239.84.63",48240,8652,"dionaea",
"35.239.84.63",48128,1719,"dionaea",
"35.239.84.63",52172,749,"dionaea",
"35.239.84.63",57266,19315,"dionaea",
"35.239.84.63",58056,1199,"dionaea",
"35.239.84.63",57492,2038,"dionaea",
"35.239.84.63",45832,7001,"dionaea",
"35.239.84.63",47882,82,"dionaea",
"35.239.84.63",47806,58080,"dionaea",
"35.239.84.63",37324,1,"dionaea",
"35.239.84.63",52994,6510,"dionaea",
"35.239.84.63",54568,8254,"dionaea",
"35.239.84.63",37774,1007,"dionaea",
